id_cliente,nome,cognome,codice_fiscale,data_nascita,indirizzo,cap,citta,provincia,telefono,email,azienda,partita_iva,iban,swift_bic,saldo_euro,data_apertura
1,Bianca,Guinizzelli,PZZMRN39H04L192V,1996-09-30,"Via Eraldo, 5 Appartamento 88",25136,Pfulters,Vercelli,+39 03196013247,yzoppetto@example.com,Maccanelli Group,IT47882620702,IT14N7560172612695295753979,ILIEIT1JJLQ,"38.320,36 €",2024-04-19
2,Maura,Marsili,FRNNNZ08A03F594F,1948-10-25,"Viale Rosario, 75",98039,Cavola,Brescia,0975088079,pinarinaldi@example.com,"Romagnoli, Sorrentino e Celentano Group",IT46333620105,IT74B7422392333663191781090,LFPOIT1SUOT,"64,63 €",2023-05-30
3,Cristina,Matteotti,CSRPLN34P27I738N,1966-07-17,"Incrocio Giancarlo, 8 Piano 4",28053,Camporeggiano,Lecce,+39 3783754252,zvolterra@example.net,Sokolov-Gualtieri SPA,IT08182680465,IT82L7797465017866107903127,WSNYITIHM1K,"84.109,80 €",2022-04-10
4,Geronimo,Mazzocchi,MDGGVN38S20G377C,1946-01-23,"Viale Salvi, 50 Piano 9",00159,Pennapiedimonte,Modena,+39 3920351451,semitecoloarturo@example.org,Chigi e figli,IT07836010566,IT97Z9122299012431303381402,TKTXITIW,"41.567,90 €",2023-12-27
5,Fiamma,Bodoni,RGRGLN55H49E185A,1972-04-28,"Incrocio Virgilio, 919 Appartamento 70",67055,Cona,Rimini,+39 0166081810,aldotoso@example.org,"Paolucci, Mocenigo e Volta e figli",IT83745570883,IT90H8421253276616555664583,KBHKITJ2,"22,51 €",2025-09-13
6,Luca,Petralli,PRTCNT16M10I946T,1999-07-14,"Strada Pacillo, 64",88065,Gardone Val Trompia,Brindisi,328741091,stefano20@example.org,"Gianetti, Missoni e Romano s.r.l.",IT20992250553,IT12K2426635625516970806561,TRBJITW8PIU,"7,02 €",2022-01-12
7,Fabia,Fracci,NOIDNN05E07B255P,1979-10-18,"Canale Villadicani, 972",00029,Balocco,Frosinone,+39 371334790,carlobruscantini@example.net,Beffa s.r.l.,IT49766760802,IT37D2883302251882102803403,VGGMIT43ZYG,"91,99 €",2025-11-02
8,Raimondo,Pietrangeli,LGRRRA67C25L301Z,1976-10-27,"Contrada Jovinelli, 675",53040,Ceci,Imperia,057514316,pellirosaria@example.org,Branciforte-Chiesa s.r.l.,IT90261040480,IT86R7407957462414933633121,QJTKITJNPBI,"801,18 €",2024-12-18
9,Lorenzo,Trupiano,BTTMRN93B22H985Q,2004-10-28,"Strada Annamaria, 64",91100,Usseaux,Isernia,3757898030,torquatofalcone@example.com,"Spinelli, Travaglia e Magnani e figli",IT47119620459,IT18E7911723721468001464446,TWMMIT9I,"7.939,86 €",2022-03-07
10,Alberto,Scarponi,FRNRMG64A41I968N,1962-09-02,"Viale Ottavio, 875 Appartamento 2",86044,Montalenghe,Chieti,3517586590,gaetanogabbana@example.com,Barsanti-Carocci s.r.l.,IT09257450768,IT66W8162922350408751788265,ZFOWITB9RNG,"466,02 €",2025-11-08
